species,product,food_type,pack_size,ean,wms_code,image_scope,local_image,image_url,source_page,declared_dimensions,declared_dpi,image_label,file_bytes,sha256,status
cat,2014 - FBN - Wet - Cat - BRITISH SHORTHAIR - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,12x85 g,9003579001257,2897001,weight-specific,images/cat/2014-fbn-wet-cat-british-shorthair-zone-europe-standard-perfect-product-page-master-184ac9685d.jpg,https://marspetcareaprimocdn.petcare.global/fd4b1377-2620-4ef6-a688-b24900078638/fd4b1377-2620-4ef6-a688-b24900078638_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/british-shorthair-2032,2480x3508,300,BRITISH-NO-PACKSHOT-POUCH-FBN16,395942,184ac9685d568f00dfd18984f4f83b18b9a7607abc6d724fc820b72b2269b523,downloaded
cat,2014 - FBN - Wet - Cat - MAINE COON - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,12x85 g,9003579001219,2878001,weight-specific,images/cat/2014-fbn-wet-cat-maine-coon-zone-europe-standard-perfect-product-page-master-d73427746c.jpg,https://marspetcareaprimocdn.petcare.global/16cfcb6e-fe2c-4f4f-b3e1-b2490007f5da/16cfcb6e-fe2c-4f4f-b3e1-b2490007f5da_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/maine-coon-2031,2480x3508,300,MCOON-SU-PACKSHOT-POUCH-FBN16,448813,d73427746c099debb49b1f3f2d9dddaf3fbb1206b2df7c2c74a239a82b4bf804,downloaded
cat,2015 - FHN - DRY - Cat - OUTDOOR 7+ - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,2 kg,3182550784467,2504020,shared official master across listed weights,images/cat/2015-fhn-dry-cat-outdoor-7-zone-europe-standard-perfect-product-page-master-c0fa187ad2.png,https://cdn.royalcanin-weshare-online.io/QCEua2QBaxEApS7LjPv3/v278/16-outdoor-7-b1-e,https://www.royalcanin.com/uk/cats/products/retail-products/outdoor-7%2b-2523,2480x3508,300,16-OUTDOOR 7+-B1-E,647220,c0fa187ad2f45a4a7ff6b612151d8e8438b75c64e86b9a138a0197bce2c9d28f,downloaded
cat,2015 - FHN - DRY - Cat - OUTDOOR 7+ - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,4 kg,3182550784481,2504040,shared official master across listed weights,images/cat/2015-fhn-dry-cat-outdoor-7-zone-europe-standard-perfect-product-page-master-c0fa187ad2.png,https://cdn.royalcanin-weshare-online.io/QCEua2QBaxEApS7LjPv3/v278/16-outdoor-7-b1-e,https://www.royalcanin.com/uk/cats/products/retail-products/outdoor-7%2b-2523,2480x3508,300,16-OUTDOOR 7+-B1-E,647220,c0fa187ad2f45a4a7ff6b612151d8e8438b75c64e86b9a138a0197bce2c9d28f,downloaded
cat,2015 - FHN - DRY - Cat - OUTDOOR 7+ - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,10 kg,3182550784498,2504100,shared official master across listed weights,images/cat/2015-fhn-dry-cat-outdoor-7-zone-europe-standard-perfect-product-page-master-c0fa187ad2.png,https://cdn.royalcanin-weshare-online.io/QCEua2QBaxEApS7LjPv3/v278/16-outdoor-7-b1-e,https://www.royalcanin.com/uk/cats/products/retail-products/outdoor-7%2b-2523,2480x3508,300,16-OUTDOOR 7+-B1-E,647220,c0fa187ad2f45a4a7ff6b612151d8e8438b75c64e86b9a138a0197bce2c9d28f,downloaded
cat,2016 - FBN - DRY - Cat - BRITISH SHORTHAIR Kitten - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,2 kg,3182550816533,2604020,shared official master across listed weights,images/cat/2016-fbn-dry-cat-british-shorthair-kitten-zone-europe-standard-perfect-product-page-master-8441cb9c02.jpg,https://marspetcareaprimocdn.petcare.global/acf50974-2701-458e-b8ee-b3a2008a67e5/acf50974-2701-458e-b8ee-b3a2008a67e5_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/british-shorthair-kitten-2566,2480x3508,300,FBN2016_PACKSHOT_BRITISH SHORTHAIR_KITTEN,340227,8441cb9c02d8cb9e786f3d098d996df88a3654594a4ded52176c3bf3fb791782,downloaded
cat,2016 - FBN - DRY - Cat - BRITISH SHORTHAIR Kitten - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,10 kg,3182550816540,2604100,shared official master across listed weights,images/cat/2016-fbn-dry-cat-british-shorthair-kitten-zone-europe-standard-perfect-product-page-master-8441cb9c02.jpg,https://marspetcareaprimocdn.petcare.global/acf50974-2701-458e-b8ee-b3a2008a67e5/acf50974-2701-458e-b8ee-b3a2008a67e5_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/british-shorthair-kitten-2566,2480x3508,300,FBN2016_PACKSHOT_BRITISH SHORTHAIR_KITTEN,340227,8441cb9c02d8cb9e786f3d098d996df88a3654594a4ded52176c3bf3fb791782,downloaded
cat,2016 - FBN - DRY - Cat - MAINE COON Kitten - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,2 kg,3182550816502,2551020,shared official master across listed weights,images/cat/2016-fbn-dry-cat-maine-coon-kitten-zone-europe-standard-perfect-product-page-master-a943d81de4.jpg,https://marspetcareaprimocdn.petcare.global/4f2dab12-9510-443a-8121-b2490007b30b/4f2dab12-9510-443a-8121-b2490007b30b_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/maine-coon-kitten-2558,2480x3508,300,FBN2016_PACKSHOT_MAINE COON_KITTEN,339998,a943d81de4101b37e397b7f9b08d36b51051bd23f7e342f65b0a5f99dc3f9f67,downloaded
cat,2016 - FBN - DRY - Cat - MAINE COON Kitten - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,4 kg,3182550770958,2551040,shared official master across listed weights,images/cat/2016-fbn-dry-cat-maine-coon-kitten-zone-europe-standard-perfect-product-page-master-a943d81de4.jpg,https://marspetcareaprimocdn.petcare.global/4f2dab12-9510-443a-8121-b2490007b30b/4f2dab12-9510-443a-8121-b2490007b30b_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/maine-coon-kitten-2558,2480x3508,300,FBN2016_PACKSHOT_MAINE COON_KITTEN,339998,a943d81de4101b37e397b7f9b08d36b51051bd23f7e342f65b0a5f99dc3f9f67,downloaded
cat,2016 - FBN - DRY - Cat - MAINE COON Kitten - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,10 kg,3182550863681,2551100,shared official master across listed weights,images/cat/2016-fbn-dry-cat-maine-coon-kitten-zone-europe-standard-perfect-product-page-master-a943d81de4.jpg,https://marspetcareaprimocdn.petcare.global/4f2dab12-9510-443a-8121-b2490007b30b/4f2dab12-9510-443a-8121-b2490007b30b_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/maine-coon-kitten-2558,2480x3508,300,FBN2016_PACKSHOT_MAINE COON_KITTEN,339998,a943d81de4101b37e397b7f9b08d36b51051bd23f7e342f65b0a5f99dc3f9f67,downloaded
cat,2016 - FBN - DRY - Cat - SPHYNX Adult - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,10 kg,3182550758857,2606100,weight-specific,images/cat/2016-fbn-dry-cat-sphynx-adult-zone-europe-standard-perfect-product-page-master-60549a9727.jpg,https://marspetcareaprimocdn.petcare.global/fd342bac-9151-4451-b22e-b2490007b3ea/fd342bac-9151-4451-b22e-b2490007b3ea_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/sphynx-adult-2556,2480x3508,300,FBN2016_PACKSHOT_SPHYNX,316017,60549a972767016dd64193e7b290475dbd91b21bd3e554c8e757094ab2a455fa,downloaded
cat,2016 - FBN - Dry - Cat - BENGAL Adult - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,2 kg,3182550864091,2608020,shared official master across listed weights,images/cat/2016-fbn-dry-cat-bengal-adult-zone-europe-standard-perfect-product-page-master-5335879f07.jpg,https://marspetcareaprimocdn.petcare.global/504ac1c9-e756-46cf-a213-b40800f0337e/504ac1c9-e756-46cf-a213-b40800f0337e_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/bengal-adult-4370,2480x3508,300,FBN2016_PACKSHOT_BENGAL,350186,5335879f07fa85f0c21c84360a847d8fa16776452af2f00189f0469302d907c3,downloaded
cat,2016 - FBN - Dry - Cat - BENGAL Adult - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,10 kg,3182550865111,2608100,shared official master across listed weights,images/cat/2016-fbn-dry-cat-bengal-adult-zone-europe-standard-perfect-product-page-master-5335879f07.jpg,https://marspetcareaprimocdn.petcare.global/504ac1c9-e756-46cf-a213-b40800f0337e/504ac1c9-e756-46cf-a213-b40800f0337e_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/bengal-adult-4370,2480x3508,300,FBN2016_PACKSHOT_BENGAL,350186,5335879f07fa85f0c21c84360a847d8fa16776452af2f00189f0469302d907c3,downloaded
cat,2016 - FBN - Dry - Cat - BRITISH SHORTHAIR Adult - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,2 kg,3182550756419,2603020,shared official master across listed weights,images/cat/2016-fbn-dry-cat-british-shorthair-adult-zone-europe-standard-perfect-product-page-master-e0b102ca41.jpg,https://marspetcareaprimocdn.petcare.global/9428bd90-4035-49ad-b278-b379010aa960/9428bd90-4035-49ad-b278-b379010aa960_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/british-shorthair--adult-2557,2480x3508,300,FBN2016_PACKSHOT_BRITISH SHORTHAIR_ADULT,341403,e0b102ca4145c4cf24764a3c836cb0522fee7a8cb4a7ed1cead0cb38dcc0e560,downloaded
cat,2016 - FBN - Dry - Cat - BRITISH SHORTHAIR Adult - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,4 kg,3182550756440,2603040,shared official master across listed weights,images/cat/2016-fbn-dry-cat-british-shorthair-adult-zone-europe-standard-perfect-product-page-master-e0b102ca41.jpg,https://marspetcareaprimocdn.petcare.global/9428bd90-4035-49ad-b278-b379010aa960/9428bd90-4035-49ad-b278-b379010aa960_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/british-shorthair--adult-2557,2480x3508,300,FBN2016_PACKSHOT_BRITISH SHORTHAIR_ADULT,341403,e0b102ca4145c4cf24764a3c836cb0522fee7a8cb4a7ed1cead0cb38dcc0e560,downloaded
cat,2016 - FBN - Dry - Cat - BRITISH SHORTHAIR Adult - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,10 kg,3182550756464,2603100,shared official master across listed weights,images/cat/2016-fbn-dry-cat-british-shorthair-adult-zone-europe-standard-perfect-product-page-master-e0b102ca41.jpg,https://marspetcareaprimocdn.petcare.global/9428bd90-4035-49ad-b278-b379010aa960/9428bd90-4035-49ad-b278-b379010aa960_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/british-shorthair--adult-2557,2480x3508,300,FBN2016_PACKSHOT_BRITISH SHORTHAIR_ADULT,341403,e0b102ca4145c4cf24764a3c836cb0522fee7a8cb4a7ed1cead0cb38dcc0e560,downloaded
cat,2016 - FBN - Dry - Cat - MAINE COON Adult - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,2 kg,3182550710640,2552020,shared official master across listed weights,images/cat/2016-fbn-dry-cat-maine-coon-adult-zone-europe-standard-perfect-product-page-master-1bec58b76b.jpg,https://marspetcareaprimocdn.petcare.global/b66cd0fb-c08d-4304-ab5f-b377014cda76/b66cd0fb-c08d-4304-ab5f-b377014cda76_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/maine-coon-adult-2550,2480x3508,300,FBN2016_PACKSHOT_MAINE COON_ADULT,369817,1bec58b76bae80f3d0d2ff5d8399fef70d02952a1543d219d929677d064d4c87,downloaded
cat,2016 - FBN - Dry - Cat - MAINE COON Adult - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,4 kg,3182550710657,2552040,shared official master across listed weights,images/cat/2016-fbn-dry-cat-maine-coon-adult-zone-europe-standard-perfect-product-page-master-1bec58b76b.jpg,https://marspetcareaprimocdn.petcare.global/b66cd0fb-c08d-4304-ab5f-b377014cda76/b66cd0fb-c08d-4304-ab5f-b377014cda76_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/maine-coon-adult-2550,2480x3508,300,FBN2016_PACKSHOT_MAINE COON_ADULT,369817,1bec58b76bae80f3d0d2ff5d8399fef70d02952a1543d219d929677d064d4c87,downloaded
cat,2016 - FBN - Dry - Cat - MAINE COON Adult - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,10 kg,3182550710664,2552100,shared official master across listed weights,images/cat/2016-fbn-dry-cat-maine-coon-adult-zone-europe-standard-perfect-product-page-master-1bec58b76b.jpg,https://marspetcareaprimocdn.petcare.global/b66cd0fb-c08d-4304-ab5f-b377014cda76/b66cd0fb-c08d-4304-ab5f-b377014cda76_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/maine-coon-adult-2550,2480x3508,300,FBN2016_PACKSHOT_MAINE COON_ADULT,369817,1bec58b76bae80f3d0d2ff5d8399fef70d02952a1543d219d929677d064d4c87,downloaded
cat,2016 - FBN - Dry - Cat - NORWEGIAN FOREST CAT Adult - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,10 kg,3182550825405,2607100,weight-specific,images/cat/2016-fbn-dry-cat-norwegian-forest-cat-adult-zone-europe-standard-perfect-product-page-master-159c891509.png,https://cdn.royalcanin-weshare-online.io/ZyLCt2sBaxEApS7L3SAy/v353/fbn2016-packshot-norwegian-forest-cat,https://www.royalcanin.com/uk/cats/products/retail-products/norwegian-forest-cat-adult-2516,2480x3508,300,FBN2016_PACKSHOT_NORWEGIAN FOREST CAT,1866243,159c8915090c7b9ea618d0be3c1a98ab5a56c330a5e023b1375c03ac8adb4316,downloaded
cat,2016 - FBN - Dry - Cat - PERSIAN Adult - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,2 kg,3182550702614,2352020,shared official master across listed weights,images/cat/2016-fbn-dry-cat-persian-adult-zone-europe-standard-perfect-product-page-master-2e038232fe.jpg,https://marspetcareaprimocdn.petcare.global/07a1fa03-31d3-47e9-94f6-b2490007b362/07a1fa03-31d3-47e9-94f6-b2490007b362_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/persian-adult-2552,2480x3508,300,FBN2016_PACKSHOT_PERSIAN_ADULT,348977,2e038232fe0cec7dc4123e6a7b35c4bad70fe0ad5d8c428b4d15ecb63edb3f14,downloaded
cat,2016 - FBN - Dry - Cat - PERSIAN Adult - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,4 kg,3182550704533,2352040,shared official master across listed weights,images/cat/2016-fbn-dry-cat-persian-adult-zone-europe-standard-perfect-product-page-master-2e038232fe.jpg,https://marspetcareaprimocdn.petcare.global/07a1fa03-31d3-47e9-94f6-b2490007b362/07a1fa03-31d3-47e9-94f6-b2490007b362_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/persian-adult-2552,2480x3508,300,FBN2016_PACKSHOT_PERSIAN_ADULT,348977,2e038232fe0cec7dc4123e6a7b35c4bad70fe0ad5d8c428b4d15ecb63edb3f14,downloaded
cat,2016 - FBN - Dry - Cat - PERSIAN Adult - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,10 kg,3182550702621,2352100,shared official master across listed weights,images/cat/2016-fbn-dry-cat-persian-adult-zone-europe-standard-perfect-product-page-master-2e038232fe.jpg,https://marspetcareaprimocdn.petcare.global/07a1fa03-31d3-47e9-94f6-b2490007b362/07a1fa03-31d3-47e9-94f6-b2490007b362_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/persian-adult-2552,2480x3508,300,FBN2016_PACKSHOT_PERSIAN_ADULT,348977,2e038232fe0cec7dc4123e6a7b35c4bad70fe0ad5d8c428b4d15ecb63edb3f14,downloaded
cat,2016 - FBN - Dry - Cat - PERSIAN Kitten - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,2 kg,3182550721219,2342020,shared official master across listed weights,images/cat/2016-fbn-dry-cat-persian-kitten-zone-europe-standard-perfect-product-page-master-8367e3e39a.jpg,https://marspetcareaprimocdn.petcare.global/a84324aa-a02f-4f97-a7cd-b2490007b348/a84324aa-a02f-4f97-a7cd-b2490007b348_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/persian-kitten-2554,2480x3508,300,FBN2016_PACKSHOT_PERSIAN_KITTEN,335732,8367e3e39a14dd24f4690a46546f2e65356f628773b51aff525b1c378a459fca,downloaded
cat,2016 - FBN - Dry - Cat - PERSIAN Kitten - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,4 kg,3182550721226,2342040,shared official master across listed weights,images/cat/2016-fbn-dry-cat-persian-kitten-zone-europe-standard-perfect-product-page-master-8367e3e39a.jpg,https://marspetcareaprimocdn.petcare.global/a84324aa-a02f-4f97-a7cd-b2490007b348/a84324aa-a02f-4f97-a7cd-b2490007b348_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/persian-kitten-2554,2480x3508,300,FBN2016_PACKSHOT_PERSIAN_KITTEN,335732,8367e3e39a14dd24f4690a46546f2e65356f628773b51aff525b1c378a459fca,downloaded
cat,2016 - FBN - Dry - Cat - PERSIAN Kitten - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,10 kg,3182550721233,2342100,shared official master across listed weights,images/cat/2016-fbn-dry-cat-persian-kitten-zone-europe-standard-perfect-product-page-master-8367e3e39a.jpg,https://marspetcareaprimocdn.petcare.global/a84324aa-a02f-4f97-a7cd-b2490007b348/a84324aa-a02f-4f97-a7cd-b2490007b348_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/persian-kitten-2554,2480x3508,300,FBN2016_PACKSHOT_PERSIAN_KITTEN,335732,8367e3e39a14dd24f4690a46546f2e65356f628773b51aff525b1c378a459fca,downloaded
cat,2016 - FBN - Dry - Cat - RAGDOLL Adult - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,2 kg,3182550825351,2605020,shared official master across listed weights,images/cat/2016-fbn-dry-cat-ragdoll-adult-zone-europe-standard-perfect-product-page-master-359518d66d.jpg,https://marspetcareaprimocdn.petcare.global/f5246721-9190-4338-ab38-b2490007b376/f5246721-9190-4338-ab38-b2490007b376_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/ragdoll-adult-2515,2480x3508,300,FBN2016_PACKSHOT_RAGDOLL,328713,359518d66dba6593f6d7861f6f605e560e7d0281075474e33721e204ffe20103,downloaded
cat,2016 - FBN - Dry - Cat - RAGDOLL Adult - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,10 kg,3182550825375,2605100,shared official master across listed weights,images/cat/2016-fbn-dry-cat-ragdoll-adult-zone-europe-standard-perfect-product-page-master-359518d66d.jpg,https://marspetcareaprimocdn.petcare.global/f5246721-9190-4338-ab38-b2490007b376/f5246721-9190-4338-ab38-b2490007b376_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/ragdoll-adult-2515,2480x3508,300,FBN2016_PACKSHOT_RAGDOLL,328713,359518d66dba6593f6d7861f6f605e560e7d0281075474e33721e204ffe20103,downloaded
cat,2016 - FBN - Dry - Cat - SIAMESE Adult - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,2 kg,3182550710688,2602020,shared official master across listed weights,images/cat/2016-fbn-dry-cat-siamese-adult-zone-europe-standard-perfect-product-page-master-c77925012a.png,https://cdn.royalcanin-weshare-online.io/amm2rWsBG95Xk-RBkPub/v405/fbn2016-packshot-siamese,https://www.royalcanin.com/uk/cats/products/retail-products/siamese-adult-2551,2480x3508,300,FBN2016_PACKSHOT_SIAMESE,1832433,c77925012ae516a4c3cf69a8e63195243b56e17b7ad665a685aa928f6c17ddb3,downloaded
cat,2016 - FBN - Dry - Cat - SIAMESE Adult - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,4 kg,3182550710695,2602040,shared official master across listed weights,images/cat/2016-fbn-dry-cat-siamese-adult-zone-europe-standard-perfect-product-page-master-c77925012a.png,https://cdn.royalcanin-weshare-online.io/amm2rWsBG95Xk-RBkPub/v405/fbn2016-packshot-siamese,https://www.royalcanin.com/uk/cats/products/retail-products/siamese-adult-2551,2480x3508,300,FBN2016_PACKSHOT_SIAMESE,1832433,c77925012ae516a4c3cf69a8e63195243b56e17b7ad665a685aa928f6c17ddb3,downloaded
cat,2016 - FBN - Dry - Cat - SIAMESE Adult - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,10 kg,3182550710701,2602100,shared official master across listed weights,images/cat/2016-fbn-dry-cat-siamese-adult-zone-europe-standard-perfect-product-page-master-c77925012a.png,https://cdn.royalcanin-weshare-online.io/amm2rWsBG95Xk-RBkPub/v405/fbn2016-packshot-siamese,https://www.royalcanin.com/uk/cats/products/retail-products/siamese-adult-2551,2480x3508,300,FBN2016_PACKSHOT_SIAMESE,1832433,c77925012ae516a4c3cf69a8e63195243b56e17b7ad665a685aa928f6c17ddb3,downloaded
cat,2016 - FHN - DRY - Cat - INDOOR 27 - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,2 kg,3182550704625,2452020,shared official master across listed weights,images/cat/2016-fhn-dry-cat-indoor-27-zone-europe-standard-perfect-product-page-master-f668b168c0.jpg,https://marspetcareaprimocdn.petcare.global/6e85bfb2-2a80-4d09-800d-b3aa00a4ebfc/6e85bfb2-2a80-4d09-800d-b3aa00a4ebfc_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/indoor-27-2529,,,16-INDOOR 27-B1-NE,369239,f668b168c04d2b7b70c909d9fecbb8483fe458b48586062ebf9cec51d0402f43,downloaded
